full_name,pdes,name,neo,pha,class,e,a,q,i,om,w,ma,epoch,per,per_y,n,ad,H,G,diameter,extent,albedo,rot_per,GM,density,BV,UB,IR,spec_T,spec_B,condition_code,data_arc,n_obs_used,moid,moid_ld,t_jup
       (2024 CX6),2024 CX6,,Y,N,APO,0.3844,1.039,0.640,16.99,339.55,293.57,282.82,2460355.5,387,1.06,0.9305,1.44,23.67,,,,,,,,,,,,,8,7,18,0.0308,12,5.8
       (2024 CY6),2024 CY6,,Y,N,AMO,0.4771,2.117,1.107,6.51,60.28,138.60,255.28,2461200.5,1.12e+03,3.08,0.3201,3.13,22.46,,,,,,,,,,,,,5,58,46,0.125,48.5,3.57
       (2024 CZ6),2024 CZ6,,Y,N,APO,0.3134,1.371,0.941,0.89,80.15,17.05,186.23,2461200.5,586,1.6,0.6143,1.80,25.43,,,,,,,,,,,,,7,19,35,0.00513,1.99,4.77
       (2024 CA7),2024 CA7,,Y,N,APO,0.8290,1.689,0.289,27.94,344.60,299.37,334.84,2460355.5,802,2.2,0.449,3.09,22.56,,,,,,,,,,,,,8,16,50,0.0371,14.4,3.64
       (2024 CB7),2024 CB7,,Y,N,APO,0.5467,2.124,0.963,2.50,338.34,142.81,275.12,2461200.5,1.13e+03,3.1,0.3184,3.29,26.03,,,,,,,,,,,,,7,6,35,0.0111,4.32,3.52
       (2024 CC7),2024 CC7,,Y,N,ATE,0.1864,0.9897,0.805,6.53,151.61,111.14,27.20,2461200.5,360,0.985,1.001,1.17,26.36,,,,,,,,,,,,,6,9,17,0.0172,6.7,6.11
       (2024 CE7),2024 CE7,,Y,N,APO,0.6783,2.217,0.713,6.57,149.22,84.43,342.83,2460355.5,1.21e+03,3.3,0.2987,3.72,24.77,,,,,,,,,,,,,8,5,24,0.0237,9.21,3.3
       (2024 CF7),2024 CF7,,Y,N,APO,0.2148,1.093,0.858,15.03,327.68,255.25,314.85,2461200.5,417,1.14,0.8629,1.33,29.46,,,,,,,,,,,,,7,1,18,0.000236,0.092,5.63
       (2024 CR7),2024 CR7,,Y,N,APO,0.6207,1.991,0.755,16.30,108.63,159.02,254.27,2461200.5,1.03e+03,2.81,0.3509,3.23,20.02,,,,,,,,,,,,,1,1350,52,0.187,72.8,3.54
       (2024 CS7),2024 CS7,,Y,N,ATE,0.1529,0.9058,0.767,24.39,147.70,143.86,110.86,2461200.5,315,0.862,1.143,1.04,25.11,,,,,,,,,,,,,6,5,141,0.0205,7.99,6.5
       (2024 CT7),2024 CT7,,Y,N,APO,0.3770,1.543,0.961,5.85,151.98,37.76,54.65,2461200.5,700,1.92,0.5143,2.12,26.70,,,,,,,,,,,,,7,20,23,0.0154,6,4.38
       (2024 CW7),2024 CW7,,Y,N,APO,0.6625,2.224,0.751,4.07,203.32,19.08,344.25,2460355.5,1.21e+03,3.32,0.2972,3.70,23.91,,,,,,,,,,,,,9,1,12,0.0516,20.1,3.32
       (2024 CX7),2024 CX7,,Y,N,APO,0.6254,1.472,0.551,17.28,357.21,11.25,62.05,2460351.5,652,1.79,0.5519,2.39,21.21,,,,,,,,,,,,,8,8,12,0.278,108,4.33
       (2024 CZ7),2024 CZ7,,Y,N,APO,0.3543,1.549,1.000,5.58,240.08,298.42,55.88,2461200.5,704,1.93,0.5115,2.10,23.03,,,,,,,,,,,,,6,51,34,0.0612,23.8,4.38
       (2024 CA8),2024 CA8,,Y,N,APO,0.7789,2.032,0.449,2.10,303.79,309.60,342.09,2460350.5,1.06e+03,2.9,0.3402,3.62,24.32,,,,,,,,,,,,,8,13,27,0.0155,6.02,3.34
       (2024 CC8),2024 CC8,,Y,N,APO,0.1894,1.158,0.939,20.14,321.22,257.47,302.65,2460349.5,455,1.25,0.7908,1.38,25.09,,,,,,,,,,,,,8,10,12,0.0749,29.2,5.36
       (2024 CE8),2024 CE8,,Y,N,APO,0.7168,2.697,0.764,7.43,152.81,65.33,349.52,2460355.5,1.62e+03,4.43,0.2225,4.63,25.46,,,,,,,,,,,,,8,5,20,0.00497,1.93,2.92
       (2024 CF8),2024 CF8,,Y,N,AMO,0.4195,2.018,1.171,5.59,320.49,183.00,290.43,2461200.5,1.05e+03,2.87,0.3439,2.86,24.61,,,,,,,,,,,,,7,23,14,0.184,71.7,3.7
       (2024 CG8),2024 CG8,,Y,N,AMO,0.5996,2.832,1.134,5.10,92.35,111.12,166.31,2461200.5,1.74e+03,4.76,0.2069,4.53,20.99,,,,,,,,,,,,,5,132,41,0.157,60.9,3.01
       (2024 CJ8),2024 CJ8,,Y,N,APO,0.3243,1.226,0.829,14.83,2.42,237.54,196.62,2461200.5,496,1.36,0.7257,1.62,23.30,,,,,,,,,,,,,7,26,43,0.0438,17,5.13
       (2024 CK8),2024 CK8,,Y,N,ATE,0.1491,0.9145,0.778,3.39,149.11,147.70,92.84,2461200.5,319,0.875,1.127,1.05,25.29,,,,,,,,,,,,,5,23,77,0.0153,5.94,6.52
       (2024 CM8),2024 CM8,,Y,N,APO,0.6993,2.814,0.846,12.65,91.48,330.58,13.05,2460356.5,1.72e+03,4.72,0.2088,4.78,21.74,,,,,,,,,,,,,9,5,32,0.0592,23,2.88
       (2024 CN8),2024 CN8,,Y,N,APO,0.1529,1.127,0.955,0.13,301.02,160.05,9.31,2461200.5,437,1.2,0.8236,1.30,28.95,,,,,,,,,,,,,6,5,20,0.000786,0.306,5.54
       (2024 CO8),2024 CO8,,Y,N,APO,0.6177,2.535,0.969,7.38,323.31,140.68,8.15,2460354.5,1.47e+03,4.04,0.2443,4.10,26.53,,,,,,,,,,,,,9,3,16,0.0373,14.5,3.14
       (2024 CP8),2024 CP8,,Y,N,AMO,0.0792,1.322,1.218,17.00,123.01,14.49,12.71,2460355.5,556,1.52,0.6481,1.43,22.68,,,,,,,,,,,,,8,5,15,0.235,91.6,4.9
       (2024 CT8),2024 CT8,,Y,N,APO,0.2818,1.298,0.932,8.45,133.37,319.49,29.97,2460355.5,540,1.48,0.6667,1.66,26.54,,,,,,,,,,,,,8,2,12,0.00127,0.495,4.96
       (2024 CV8),2024 CV8,,Y,N,APO,0.5876,1.715,0.707,7.70,149.00,78.11,348.18,2461200.5,820,2.25,0.4388,2.72,26.25,,,,,,,,,,,,,7,6,103,0.00337,1.31,3.96
       (2024 CA9),2024 CA9,,Y,N,AMO,0.4371,2.19,1.233,14.14,330.63,214.28,246.96,2461200.5,1.18e+03,3.24,0.3042,3.15,22.12,,,,,,,,,,,,,7,27,19,0.268,104,3.51
       (2024 CM9),2024 CM9,,Y,N,APO,0.5047,1.736,0.860,13.20,65.97,174.61,320.05,2461200.5,835,2.29,0.4311,2.61,21.33,,,,,,,,,,,,,5,148,26,0.147,57.4,3.97
       (2024 CN9),2024 CN9,,Y,N,AMO,0.3346,1.659,1.104,10.37,353.32,215.61,358.38,2461200.5,781,2.14,0.4612,2.21,23.42,,,,,,,,,,,,,5,58,46,0.132,51.3,4.18
       (2024 CO10),2024 CO10,,Y,N,AMO,0.1666,1.257,1.048,6.10,18.16,170.42,199.02,2461200.5,515,1.41,0.699,1.47,24.03,,,,,,,,,,,,,4,119,118,0.0489,19,5.1
       (2024 CH11),2024 CH11,,Y,N,APO,0.5751,2.126,0.903,5.18,306.74,284.98,243.25,2461200.5,1.13e+03,3.1,0.318,3.35,22.28,,,,,,,,,,,,,6,62,42,0.0433,16.8,3.49
       (2024 CK11),2024 CK11,,Y,N,AMO,0.2809,1.564,1.125,27.39,160.95,301.36,92.50,2461200.5,715,1.96,0.5038,2.00,23.13,,,,,,,,,,,,,7,26,18,0.243,94.5,4.26
       (2024 CZ11),2024 CZ11,,Y,N,APO,0.5423,1.977,0.905,5.90,343.53,250.04,271.59,2461200.5,1.02e+03,2.78,0.3545,3.05,23.29,,,,,,,,,,,,,6,50,69,0.045,17.5,3.66
       (2024 DA),2024 DA,,Y,N,APO,0.6513,2.541,0.886,1.33,142.21,318.74,8.43,2460358.5,1.48e+03,4.05,0.2433,4.20,27.41,,,,,,,,,,,,,8,5,42,0.000404,0.157,3.11
       (2024 DB),2024 DB,,Y,N,APO,0.3483,1.024,0.667,23.11,126.70,153.97,350.81,2461200.5,379,1.04,0.9507,1.38,22.08,,,,,,,,,,,,,1,727,62,0.242,94.1,5.84
       (2024 DC),2024 DC,,Y,N,APO,0.6135,2.542,0.983,1.97,108.96,62.64,354.63,2460354.5,1.48e+03,4.05,0.2431,4.10,26.72,,,,,,,,,,,,,8,4,26,0.0259,10.1,3.15
       (2024 DD),2024 DD,,Y,N,APO,0.5602,1.922,0.845,8.33,141.11,308.89,14.89,2460356.5,973,2.67,0.3698,3.00,27.94,,,,,,,,,,,,,8,1,17,0.00458,1.78,3.7
       (2024 DE),2024 DE,,Y,N,APO,0.1684,1.08,0.898,7.95,329.52,105.06,75.57,2461200.5,410,1.12,0.8787,1.26,27.81,,,,,,,,,,,,,6,2,29,0.0115,4.49,5.71
       (2024 DF),2024 DF,,Y,N,APO,0.3804,1.21,0.750,7.23,349.94,250.31,307.58,2460356.5,486,1.33,0.7405,1.67,24.36,,,,,,,,,,,,,8,7,32,0.0262,10.2,5.18
       (2024 DG),2024 DG,,Y,N,APO,0.8950,1.242,0.130,23.39,29.45,277.38,320.13,2460358.5,505,1.38,0.7123,2.35,20.39,,,,,,,,,,,,,9,21,32,0.291,113,4.59
       (2024 DH),2024 DH,,Y,N,APO,0.5203,1.679,0.805,21.58,144.03,295.13,22.02,2460358.5,795,2.18,0.4531,2.55,26.16,,,,,,,,,,,,,8,3,25,0.0108,4.2,4
       (2024 DJ),2024 DJ,,Y,N,APO,0.5446,1.213,0.553,20.91,331.79,67.11,45.14,2460357.5,488,1.34,0.7374,1.87,25.15,,,,,,,,,,,,,8,1,42,0.0454,17.7,5.04
       (2024 DL),2024 DL,,Y,N,APO,0.3547,1.507,0.973,4.89,333.67,211.50,71.01,2461200.5,676,1.85,0.5325,2.04,26.04,,,,,,,,,,,,,7,22,56,0.0117,4.54,4.46
       (2024 DM),2024 DM,,Y,N,ATE,0.4647,0.9328,0.499,7.66,130.13,243.19,286.75,2461200.5,329,0.901,1.094,1.37,24.96,,,,,,,,,,,,,7,14,26,0.0154,5.98,6.32
       (2024 DN),2024 DN,,Y,N,APO,0.2176,1.227,0.960,4.94,112.72,326.34,48.15,2460357.5,496,1.36,0.7256,1.49,25.39,,,,,,,,,,,,,9,2,10,0.00367,1.43,5.19
       (2024 DP),2024 DP,,Y,N,APO,0.2924,1.35,0.955,8.47,136.91,335.64,189.26,2461200.5,573,1.57,0.6283,1.74,25.45,,,,,,,,,,,,,7,23,31,0.00949,3.69,4.82
       (2024 DQ),2024 DQ,,Y,N,ATE,0.0306,0.9783,0.948,4.58,16.60,277.73,354.29,2461200.5,353,0.968,1.019,1.01,24.87,,,,,,,,,,,,,5,35,71,0.0165,6.41,6.18
       (2024 DR),2024 DR,,Y,N,APO,0.5534,1.545,0.690,12.57,94.78,327.28,29.89,2460357.5,701,1.92,0.5132,2.40,22.86,,,,,,,,,,,,,9,3,17,0.149,57.8,4.25
       (2024 DS),2024 DS,,Y,N,APO,0.4622,1.535,0.826,6.04,130.36,305.43,27.64,2460357.5,695,1.9,0.5183,2.24,25.93,,,,,,,,,,,,,8,2,20,0.0111,4.31,4.35
       (2024 DT),2024 DT,,Y,N,APO,0.6520,2.092,0.728,7.36,121.01,307.10,17.16,2460357.5,1.11e+03,3.03,0.3257,3.46,24.36,,,,,,,,,,,,,9,2,21,0.0366,14.2,3.44
       (2024 DU),2024 DU,,Y,N,APO,0.7203,1.988,0.556,15.51,35.74,12.99,318.12,2461200.5,1.02e+03,2.8,0.3515,3.42,21.26,,,,,,,,,,,,,7,28,39,0.256,99.8,3.44
       (2024 DV),2024 DV,,Y,N,ATE,0.2371,0.857,0.654,3.35,323.65,42.83,89.20,2461200.5,290,0.793,1.242,1.06,26.25,,,,,,,,,,,,,6,12,51,0.00253,0.984,6.86
       (2024 DW),2024 DW,,Y,N,APO,0.6872,2.354,0.736,1.18,335.02,245.83,217.32,2461200.5,1.32e+03,3.61,0.2728,3.97,27.14,,,,,,,,,,,,,7,3,68,0.000793,0.309,3.19
       (2024 DX),2024 DX,,Y,N,APO,0.3386,1.165,0.770,1.03,346.53,249.58,250.60,2461200.5,459,1.26,0.7843,1.56,27.29,,,,,,,,,,,,,6,3,56,0.00405,1.58,5.36
       (2024 DY),2024 DY,,Y,N,APO,0.4760,1.546,0.810,0.70,146.22,299.10,94.52,2461200.5,702,1.92,0.5129,2.28,29.02,,,,,,,,,,,,,7,11,28,0.000623,0.242,4.33
       (2024 DZ),2024 DZ,,Y,N,APO,0.4649,1.825,0.977,5.66,149.04,337.38,343.62,2461200.5,901,2.47,0.3997,2.67,28.45,,,,,,,,,,,,,7,,21,0.00887,3.45,3.89
       (2024 DA1),2024 DA1,,Y,N,APO,0.5242,1.963,0.934,1.45,102.80,103.67,283.99,2461200.5,1e+03,2.75,0.3583,2.99,24.56,,,,,,,,,,,,,7,23,130,0.0152,5.93,3.7
       (2024 DB1),2024 DB1,,Y,N,APO,0.7634,2.536,0.600,2.99,338.39,72.85,15.19,2460359.5,1.47e+03,4.04,0.2441,4.47,23.29,,,,,,,,,,,,,9,12,31,0.0125,4.85,2.95
       (2024 DC1),2024 DC1,,Y,N,AMO,0.3817,1.646,1.018,8.76,148.02,340.95,8.40,2460359.5,771,2.11,0.4667,2.27,26.72,,,,,,,,,,,,,8,1,18,0.0413,16.1,4.19
       (2024 DD1),2024 DD1,,Y,N,AMO,0.2398,1.496,1.137,11.36,20.02,178.32,65.28,2461200.5,668,1.83,0.5387,1.85,23.47,,,,,,,,,,,,,5,60,49,0.136,52.8,4.5
       (2024 DE1),2024 DE1,,Y,N,APO,0.3026,1.436,1.002,15.94,333.45,233.27,329.62,2460359.5,629,1.72,0.5726,1.87,24.70,,,,,,,,,,,,,8,14,33,0.0918,35.7,4.59
       (2024 DF1),2024 DF1,,Y,N,APO,0.2773,1.08,0.781,10.06,129.15,124.93,289.44,2460359.5,410,1.12,0.878,1.38,24.59,,,,,,,,,,,,,8,2,16,0.0921,35.9,5.68
       (2024 DG1),2024 DG1,,Y,N,AMO,0.1490,1.274,1.084,12.29,146.91,334.89,237.45,2461200.5,525,1.44,0.6853,1.46,24.49,,,,,,,,,,,,,7,21,40,0.108,41.9,5.04
       (2024 DH1),2024 DH1,,Y,N,APO,0.5622,1.921,0.841,16.51,17.91,48.51,338.57,2461200.5,973,2.66,0.3701,3.00,22.09,,,,,,,,,,,,,7,31,25,0.0285,11.1,3.67
       (2024 DJ1),2024 DJ1,,Y,N,APO,0.3425,1.407,0.925,19.23,333.66,227.34,335.37,2460359.5,610,1.67,0.5906,1.89,25.08,,,,,,,,,,,,,8,2,30,0.0157,6.11,4.62
       (2024 DK1),2024 DK1,,Y,N,APO,0.3796,1.521,0.944,3.31,339.30,133.18,98.11,2461200.5,685,1.88,0.5254,2.10,27.24,,,,,,,,,,,,,7,1,21,0.0128,4.98,4.42
       (2024 DL1),2024 DL1,,Y,N,APO,0.5181,1.927,0.929,1.77,137.89,50.88,348.88,2460359.5,977,2.68,0.3684,2.93,27.26,,,,,,,,,,,,,8,1,19,0.00839,3.27,3.74
       (2024 DM1),2024 DM1,,Y,N,APO,0.3839,1.605,0.989,7.77,334.81,195.42,39.65,2461200.5,743,2.03,0.4847,2.22,27.05,,,,,,,,,,,,,7,2,14,0.00809,3.15,4.26
       (2024 DN1),2024 DN1,,Y,N,AMO,0.1994,1.351,1.082,28.17,150.14,358.62,1.63,2460359.5,574,1.57,0.6275,1.62,24.47,,,,,,,,,,,,,9,2,24,0.0932,36.3,4.73
       (2024 DO1),2024 DO1,,Y,N,APO,0.4601,1.468,0.792,7.37,127.99,119.20,67.43,2461200.5,649,1.78,0.5543,2.14,22.62,,,,,,,,,,,,,6,49,32,0.0242,9.42,4.48
       (2024 DP1),2024 DP1,,Y,N,AMO,0.0770,1.147,1.059,24.85,149.32,49.33,320.00,2460359.5,449,1.23,0.8023,1.24,24.40,,,,,,,,,,,,,8,13,16,0.0962,37.4,5.39
       (2024 DQ1),2024 DQ1,,Y,N,APO,0.7415,1.826,0.472,31.54,327.12,289.78,331.98,2460358.5,901,2.47,0.3996,3.18,21.57,,,,,,,,,,,,,8,25,27,0.052,20.2,3.53
       (2024 DR1),2024 DR1,,Y,N,APO,0.6436,2.297,0.819,21.94,329.92,91.97,15.84,2460357.5,1.27e+03,3.48,0.283,3.78,21.77,,,,,,,,,,,,,8,15,32,0.165,64.2,3.21
       (2024 DS1),2024 DS1,,Y,N,APO,0.6124,1.83,0.709,16.08,20.31,28.67,2.20,2461200.5,904,2.47,0.3983,2.95,20.44,,,,,,,,,,,,,6,36,33,0.186,72.6,3.75
       (2024 DT1),2024 DT1,,Y,N,APO,0.3316,1.435,0.959,19.92,145.71,300.53,159.98,2461200.5,628,1.72,0.5732,1.91,22.18,,,,,,,,,,,,,6,48,35,0.0872,33.9,4.56
       (2024 DV1),2024 DV1,,Y,Y,ATE,0.3831,0.8676,0.535,22.99,172.12,123.58,200.83,2461200.5,295,0.808,1.22,1.20,20.27,,,,,,,,,,,,,1,1780,27,0.0377,14.7,6.69
       (2024 DW1),2024 DW1,,Y,N,ATE,0.6360,0.9798,0.357,3.62,342.70,314.79,60.29,2461200.5,354,0.97,1.016,1.60,23.87,,,,,,,,,,,,,6,27,121,0.00484,1.88,5.98
       (2024 DX1),2024 DX1,,Y,N,AMO,0.2095,1.325,1.048,24.03,145.67,301.35,235.04,2461200.5,557,1.53,0.646,1.60,22.51,,,,,,,,,,,,,6,28,28,0.145,56.3,4.83
       (2024 DY1),2024 DY1,,Y,N,AMO,0.5949,2.749,1.113,23.05,329.91,142.16,188.37,2461200.5,1.66e+03,4.56,0.2163,4.38,22.12,,,,,,,,,,,,,6,28,26,0.191,74.3,2.97
       (2024 EA),2024 EA,,Y,N,APO,0.6316,2.481,0.914,7.13,154.61,328.82,215.69,2461200.5,1.43e+03,3.91,0.2523,4.05,22.61,,,,,,,,,,,,,6,32,237,0.0108,4.22,3.16
       (2024 EB),2024 EB,,Y,N,APO,0.1861,1.214,0.988,10.02,158.67,28.49,233.06,2461200.5,489,1.34,0.7367,1.44,25.97,,,,,,,,,,,,,6,3,48,0.0153,5.97,5.22
       (2024 EC),2024 EC,,Y,N,APO,0.6756,2.834,0.919,1.98,350.80,122.80,178.79,2461200.5,1.74e+03,4.77,0.2066,4.75,24.08,,,,,,,,,,,,,7,18,140,0.0132,5.15,2.92
       (2024 ED),2024 ED,,Y,N,APO,0.1877,1.244,1.011,33.13,343.05,193.20,218.47,2461200.5,507,1.39,0.71,1.48,25.18,,,,,,,,,,,,,7,2,70,0.0237,9.21,4.99
       (2024 EE),2024 EE,,Y,N,APO,0.5540,2.238,0.998,6.62,151.00,20.31,241.72,2461200.5,1.22e+03,3.35,0.2945,3.48,24.71,,,,,,,,,,,,,7,8,63,0.0224,8.72,3.41
       (2024 EF),2024 EF,,Y,N,APO,0.2168,1.146,0.897,9.10,343.77,242.33,262.59,2461200.5,448,1.23,0.8038,1.39,29.15,,,,,,,,,,,,,6,2,63,0.000319,0.124,5.45
       (2024 EG),2024 EG,,Y,N,APO,0.6665,2.045,0.682,7.90,177.72,68.13,342.47,2460371.5,1.07e+03,2.92,0.3371,3.41,24.54,,,,,,,,,,,,,8,8,40,0.0216,8.39,3.47
       (2024 EH),2024 EH,,Y,N,APO,0.4741,1.769,0.931,2.72,167.56,36.04,333.06,2461200.5,860,2.35,0.4188,2.61,27.20,,,,,,,,,,,,,6,5,56,0.000195,0.076,3.97
       (2024 EJ),2024 EJ,,Y,N,APO,0.4946,1.744,0.882,1.75,168.89,293.54,19.53,2460371.5,841,2.3,0.4278,2.61,25.55,,,,,,,,,,,,,8,9,43,0.00964,3.75,3.99
       (2024 EK),2024 EK,,Y,N,APO,0.4689,1.866,0.991,3.55,354.60,201.45,308.82,2461200.5,931,2.55,0.3867,2.74,26.77,,,,,,,,,,,,,7,14,62,0.00894,3.48,3.85
       (2024 EL),2024 EL,,Y,N,APO,0.3615,1.173,0.749,5.21,356.48,75.42,51.86,2460374.5,464,1.27,0.7759,1.60,25.22,,,,,,,,,,,,,8,13,40,0.0197,7.65,5.32
       (2024 EM),2024 EM,,Y,N,AMO,0.3770,1.773,1.104,10.50,67.27,170.29,311.70,2461200.5,862,2.36,0.4176,2.44,21.52,,,,,,,,,,,,,4,103,224,0.0942,36.7,4
       (2024 EN),2024 EN,,Y,N,APO,0.4255,1.424,0.818,3.72,178.88,66.70,83.21,2461200.5,621,1.7,0.5801,2.03,24.44,,,,,,,,,,,,,4,16,123,0.000432,0.168,4.6
       (2024 EO),2024 EO,,Y,N,APO,0.7004,2.388,0.715,5.74,168.06,72.50,346.73,2460371.5,1.35e+03,3.69,0.2671,4.06,26.36,,,,,,,,,,,,,8,6,31,0.00211,0.819,3.14
       (2024 EP),2024 EP,,Y,N,AMO,0.5586,2.476,1.093,3.92,185.30,356.06,204.15,2461200.5,1.42e+03,3.9,0.253,3.86,24.37,,,,,,,,,,,,,6,60,74,0.0962,37.4,3.24
       (2024 EQ),2024 EQ,,Y,N,APO,0.4551,1.649,0.898,3.99,6.25,217.46,2.45,2461200.5,773,2.12,0.4655,2.40,26.01,,,,,,,,,,,,,7,14,56,0.0104,4.04,4.16
       (2024 ER),2024 ER,,Y,Y,APO,0.5507,2.155,0.968,15.98,332.75,167.81,262.59,2461200.5,1.16e+03,3.16,0.3115,3.34,21.40,,,,,,,,,,,,,7,30,118,0.0124,4.82,3.45
       (2024 ES),2024 ES,,Y,N,ATE,0.1934,0.9138,0.737,9.08,347.07,9.02,15.66,2461200.5,319,0.874,1.128,1.09,25.05,,,,,,,,,,,,,5,36,38,0.0897,34.9,6.51
       (2024 ET),2024 ET,,Y,N,APO,0.4365,1.742,0.981,4.35,168.14,310.82,16.68,2460374.5,840,2.3,0.4288,2.50,25.43,,,,,,,,,,,,,8,17,35,0.0383,14.9,4.03
       (2024 EU),2024 EU,,Y,N,AMO,0.0967,1.273,1.150,21.94,156.98,323.98,33.26,2460371.5,525,1.44,0.6861,1.40,23.95,,,,,,,,,,,,,8,10,21,0.179,69.5,5
       (2024 EV),2024 EV,,Y,N,APO,0.6302,2.341,0.866,2.03,330.79,132.39,12.22,2460372.5,1.31e+03,3.58,0.2752,3.82,26.63,,,,,,,,,,,,,8,9,15,0.000251,0.0975,3.26
       (2024 EW),2024 EW,,Y,N,AMO,0.1421,1.251,1.073,3.68,358.68,178.17,211.79,2461200.5,511,1.4,0.7042,1.43,25.59,,,,,,,,,,,,,0,2626,59,0.0777,30.3,5.13
       (2024 EX),2024 EX,,Y,N,ATE,0.3293,0.8108,0.544,5.88,159.03,211.57,165.75,2461200.5,267,0.73,1.35,1.08,27.67,,,,,,,,,,,,,7,2,11,0.00573,2.23,7.16
       (2024 EY),2024 EY,,Y,N,AMO,0.3453,1.777,1.163,30.72,349.45,171.56,359.00,2460372.5,865,2.37,0.4162,2.39,23.15,,,,,,,,,,,,,8,12,28,0.173,67.4,3.87
       (2024 EZ),2024 EZ,,Y,N,APO,0.5515,2.18,0.978,5.80,353.02,148.91,258.29,2461200.5,1.18e+03,3.22,0.3061,3.38,24.32,,,,,,,,,,,,,7,28,184,0.0201,7.83,3.46
       (2024 EB1),2024 EB1,,Y,N,APO,0.6846,1.677,0.529,14.51,1.24,49.92,28.91,2460371.5,793,2.17,0.4538,2.83,22.84,,,,,,,,,,,,,8,22,34,0.128,49.7,3.9
       (2024 EC1),2024 EC1,,Y,N,APO,0.6504,1.694,0.592,9.46,142.05,114.45,335.09,2460370.5,805,2.2,0.447,2.80,23.38,,,,,,,,,,,,,8,17,31,0.063,24.5,3.93
       (2024 ED1),2024 ED1,,Y,N,AMO,0.5171,2.268,1.095,3.34,7.07,180.53,0.47,2460400.5,1.25e+03,3.42,0.2886,3.44,23.80,,,,,,,,,,,,,5,66,99,0.0967,37.6,3.42
       (2024 EE1),2024 EE1,,Y,N,APO,0.1901,1.054,0.854,6.57,155.57,260.81,118.28,2461200.5,395,1.08,0.9107,1.25,26.02,,,,,,,,,,,,,7,3,16,0.0136,5.29,5.81
       (2024 EG1),2024 EG1,,Y,N,AMO,0.5182,2.329,1.122,13.61,3.93,160.13,227.15,2461200.5,1.3e+03,3.55,0.2773,3.54,22.62,,,,,,,,,,,,,6,37,74,0.14,54.6,3.35
       (2024 EJ1),2024 EJ1,,Y,N,AMO,0.5316,2.678,1.255,33.42,169.10,322.23,195.17,2461200.5,1.6e+03,4.38,0.2249,4.10,20.45,,,,,,,,,,,,,5,63,115,0.334,130,2.96
       (2024 EK1),2024 EK1,,Y,Y,ATE,0.3039,0.894,0.622,18.77,25.16,312.06,84.80,2461200.5,309,0.845,1.166,1.17,21.93,,,,,,,,,,,,,3,49,129,0.0115,4.49,6.57
       (2024 EL1),2024 EL1,,Y,N,APO,0.5215,2.079,0.995,2.01,345.73,205.47,264.04,2461200.5,1.09e+03,3,0.3288,3.16,26.48,,,,,,,,,,,,,7,9,84,0.0101,3.94,3.58
       (2024 EM1),2024 EM1,,Y,N,APO,0.0800,1.099,1.012,0.54,356.14,111.53,36.72,2461200.5,421,1.15,0.8549,1.19,27.10,,,,,,,,,,,,,6,31,17,0.0293,11.4,5.65
       (2024 EN1),2024 EN1,,Y,N,APO,0.4337,1.09,0.617,12.51,158.72,133.18,272.61,2461200.5,416,1.14,0.8662,1.56,23.54,,,,,,,,,,,,,7,17,27,0.0961,37.4,5.58
       (2024 EO1),2024 EO1,,Y,N,APO,0.6369,2.386,0.866,18.37,350.56,104.81,14.43,2460374.5,1.35e+03,3.69,0.2674,3.91,22.78,,,,,,,,,,,,,8,17,68,0.119,46.3,3.17
       (2024 EQ1),2024 EQ1,,Y,N,APO,0.5017,1.362,0.679,14.71,165.84,91.32,115.40,2461200.5,581,1.59,0.6199,2.05,25.12,,,,,,,,,,,,,7,7,68,3.83e-05,0.0149,4.68
       (2024 ER1),2024 ER1,,Y,N,AMO,0.1986,1.53,1.226,15.33,346.66,160.14,84.04,2461200.5,691,1.89,0.5209,1.83,23.30,,,,,,,,,,,,,6,28,42,0.243,94.6,4.43
       (2024 ES1),2024 ES1,,Y,N,APO,0.3404,1.503,0.991,10.26,343.71,157.71,11.66,2460375.5,673,1.84,0.535,2.01,26.40,,,,,,,,,,,,,8,9,18,0.0172,6.7,4.46
       (2024 ET1),2024 ET1,,Y,N,APO,0.6046,2.288,0.904,1.18,157.90,50.64,225.89,2461200.5,1.26e+03,3.46,0.2849,3.67,28.54,,,,,,,,,,,,,7,2,28,0.00369,1.43,3.33
       (2024 EU1),2024 EU1,,Y,N,AMO,0.0430,1.067,1.021,5.25,165.96,270.23,100.26,2461200.5,403,1.1,0.894,1.11,25.15,,,,,,,,,,,,,5,47,48,0.0548,21.3,5.78
       (2024 EV1),2024 EV1,,Y,N,APO,0.4216,1.713,0.991,5.13,345.12,260.02,324.54,2461200.5,819,2.24,0.4396,2.44,22.55,,,,,,,,,,,,,4,176,67,0.0745,29,4.07
       (2024 EW1),2024 EW1,,Y,N,ATE,0.1160,0.9416,0.832,6.34,345.99,13.25,332.36,2461200.5,334,0.914,1.079,1.05,26.77,,,,,,,,,,,,,6,5,32,0.0537,20.9,6.37
       (2024 EX1),2024 EX1,,Y,N,APO,0.6423,2.087,0.746,7.51,163.55,286.68,15.72,2460373.5,1.1e+03,3.02,0.3269,3.43,25.86,,,,,,,,,,,,,8,12,31,0.011,4.28,3.46
       (2024 EY1),2024 EY1,,Y,N,ATE,0.3108,0.8116,0.559,5.38,345.74,331.80,260.77,2461200.5,267,0.731,1.348,1.06,28.32,,,,,,,,,,,,,7,3,28,0.00675,2.63,7.16
